camera_number,date,year,month,day,species,time
A5A,45828,2025,6,20,赤狐,22:09:18
A5A,45830,2025,6,22,赤狐,05:02:24
A5A,45830,2025,6,22,雉鸡,16:37:18
A5A,45834,2025,6,26,赤狐,02:58:54
A5A,45835,2025,6,27,雉鸡,09:54:00
A5A,45836,2025,6,28,家犬,22:17:00
A5B,45828,2025,6,20,狍子,19:15:26
A6,45821,2025,6,13,雉鸡,13:03:40
A6,45828,2025,6,20,狍子,19:48:20
A6,45828,2025,6,20,狗獾,10:21:58
A6,45829,2025,6,21,雉鸡,11:44:18
A6,45830,2025,6,22,狗獾,02:04:32
A6,45830,2025,6,22,雉鸡,14:00:28
A6,45830,2025,6,22,雉鸡,08:22:44
A6,45833,2025,6,25,狗獾,02:06:00
A7,45838,2025,6,30,家猫,22:55:00
A9,45815,2025,6,7,狍子,20:22:00
A9,45815,2025,6,7,狍子,21:18:00
A9,45832,2025,6,24,狍子,04:25:00
A9,45832,2025,6,24,狍子,07:46:00
A9,45834,2025,6,26,狗獾,00:18:00
A9,45834,2025,6,26,狍子,20:38:00
A9,45838,2025,6,30,狍子,23:50:00
A10,45829,2025,6,21,赤狐,00:01:00
A10,45835,2025,6,27,家犬,11:23:00
A10,45838,2025,6,30,狍子,01:16:00
A11,45830,2025,6,22,狍子,01:37:20
A11,45830,2025,6,22,狍子,04:41:48
A11,45830,2025,6,22,狍子,20:58:44
A11,45830,2025,6,22,狍子,00:06:44
A11,45833,2025,6,25,狍子,20:30:00
A11,45836,2025,6,28,狍子,20:37:00
A11,45838,2025,6,30,狍子,22:23:00
A11,45838,2025,6,30,狍子,22:57:00
A12,45830,2025,6,22,狍子,20:51:38
A12,45831,2025,6,23,狍子,23:40:28
A12,45832,2025,6,24,狍子,04:10:58
A14,45821,2025,6,13,家牛,07:32:00
A14,45821,2025,6,13,家牛,15:33:00
A14,45821,2025,6,13,家牛,16:36:00
A14,45822,2025,6,14,家牛,14:54:00
A14,45822,2025,6,14,家牛,16:52:00
A14,45823,2025,6,15,其他鸟类,07:20:00
A14,45824,2025,6,16,家牛,07:08:00
A14,45824,2025,6,16,家犬,07:08:00
A14,45825,2025,6,17,家牛,16:09:00
A14,45826,2025,6,18,家牛,15:39:00
A14,45826,2025,6,18,家牛,17:30:00
A14,45827,2025,6,19,家牛,10:08:00
A14,45830,2025,6,22,其他鸟类,02:23:00
A14,45831,2025,6,23,家牛,06:41:00
A14,45831,2025,6,23,喜鹊,09:34:00
A14,45832,2025,6,24,家牛,15:23:00
A14,45834,2025,6,26,家牛,07:16:00
A14,45834,2025,6,26,家牛,10:57:00
A14,45836,2025,6,28,家牛,07:19:00
A14,45836,2025,6,28,家牛,08:38:00
A14,45837,2025,6,29,家牛,16:52:00
A16,45809,2025,6,1,山斑鸠,12:52:13
A16,45822,2025,6,14,山斑鸠,16:03:42
A16,45823,2025,6,15,山斑鸠,15:47:46
A17,45812,2025,6,4,赤狐,06:05:00
A17,45814,2025,6,6,家牛,19:00:00
A17,45815,2025,6,7,赤狐,21:10:00
A17,45816,2025,6,8,家牛,16:55:00
A17,45817,2025,6,9,家牛,16:09:00
A17,45817,2025,6,9,家牛,18:22:00
A17,45817,2025,6,9,家牛,08:07:00
A17,45818,2025,6,10,家牛,16:09:00
A17,45818,2025,6,10,家牛,18:23:00
A17,45819,2025,6,11,赤狐,11:56:00
A17,45820,2025,6,12,家牛,17:32:00
A17,45821,2025,6,13,家牛,15:55:00
A17,45821,2025,6,13,家牛,18:10:00
A17,45823,2025,6,15,家牛,16:52:00
A17,45825,2025,6,17,家牛,17:27:00
A17,45829,2025,6,21,家牛,17:04:00
A17,45829,2025,6,21,家牛,18:25:00
A17,45830,2025,6,22,家牛,17:29:00
A17,45833,2025,6,25,家牛,17:46:00
A17,45833,2025,6,25,家牛,18:58:00
A17,45835,2025,6,27,家牛,19:00:00
A17,45837,2025,6,29,家牛,16:18:00
A17,45837,2025,6,29,家牛,17:40:00
A17,45838,2025,6,30,家牛,16:32:00
A18,45823,2025,6,15,家牛,14:43:00
A18,45824,2025,6,16,家牛,12:23:00
A18,45824,2025,6,16,家牛,13:08:00
A18,45825,2025,6,17,岩松鼠,05:40:00
A18,45827,2025,6,19,雉鸡,07:46:00
A18,45828,2025,6,20,岩松鼠,06:07:00
A18,45828,2025,6,20,雉鸡,16:52:00
A18,45829,2025,6,21,岩松鼠,18:55:00
A18,45830,2025,6,22,家牛,15:22:00
A18,45830,2025,6,22,家牛,16:01:00
A18,45831,2025,6,23,猪獾,07:06:00
A18,45832,2025,6,24,岩松鼠,08:08:00
A18,45832,2025,6,24,雉鸡,16:31:00
A18,45834,2025,6,26,岩松鼠,07:16:00
A18,45834,2025,6,26,雉鸡,07:18:00
A18,45834,2025,6,26,雉鸡,09:13:00
A18,45835,2025,6,27,岩松鼠,14:19:00
A18,45835,2025,6,27,雉鸡,13:57:00
A18,45836,2025,6,28,岩松鼠,17:42:00
A18,45836,2025,6,28,雉鸡,18:17:00
A18,45836,2025,6,28,雉鸡,07:48:00
A18,45836,2025,6,28,岩松鼠,18:29:00
A18,45837,2025,6,29,家牛,12:57:00
A18,45837,2025,6,29,家牛,14:55:00
A18,45837,2025,6,29,家牛,13:34:00
A18,45838,2025,6,30,岩松鼠,05:29:00
A19,45811,2025,6,3,家犬,19:15:00
A19,45811,2025,6,3,家牛,11:29:00
A19,45820,2025,6,12,家牛,10:46:00
A19,45822,2025,6,14,家牛,14:02:00
A19,45823,2025,6,15,家牛,10:58:00
A19,45825,2025,6,17,家牛,06:04:00
A19,45828,2025,6,20,狍子,15:45:00
A19,45836,2025,6,28,家牛,14:38:00
A19,45838,2025,6,30,狍子,06:32:00
A20,45823,2025,6,15,野猪,19:28:00
A21,45823,2025,6,15,野猪,19:30:00
A21,45829,2025,6,21,喜鹊,09:35:00
A1,45840,2025,7,2,雉鸡,13:36:00
A1,45840,2025,7,2,狍子,02:34:00
A1,45843,2025,7,5,家犬,07:55:00
A1,45843,2025,7,5,家牛,10:12:00
A1,45844,2025,7,6,家牛,22:40:00
A1,45845,2025,7,7,家牛,06:59:00
A1,45849,2025,7,11,家犬,07:27:00
A1,45849,2025,7,11,喜鹊,16:04:00
A1,45859,2025,7,21,家犬,15:10:00
A1,45859,2025,7,21,雉鸡,07:02:00
A1,45860,2025,7,22,家犬,07:24:00
A1,45860,2025,7,22,喜鹊,14:58:00
A1,45860,2025,7,22,家犬,16:18:00
A1,45861,2025,7,23,家犬,14:59:00
A1,45863,2025,7,25,赤狐,21:34:00
A1,45863,2025,7,25,家牛,09:40:00
A1,45864,2025,7,26,家犬,08:32:00
A1,45864,2025,7,26,狍子,04:21:00
A2,45846,2025,7,8,家犬,05:42:00
A2,45859,2025,7,21,家犬,15:11:00
A2,45860,2025,7,22,家牛,16:55:00
A2,45869,2025,7,31,家犬,09:08:00
A2A,45844,2025,7,6,红嘴蓝鹊,12:33:00
A2A,45845,2025,7,7,狍子,00:03:00
A2A,45845,2025,7,7,狍子,13:04:00
A2A,45845,2025,7,7,狍子,15:20:00
A2A,45846,2025,7,8,狍子,01:03:00
A2A,45846,2025,7,8,狗獾,23:08:00
A2A,45846,2025,7,8,狍子,06:56:00
A2A,45847,2025,7,9,狍子,19:03:00
A2A,45850,2025,7,12,狍子,00:53:00
A2A,45869,2025,7,31,家犬,08:52:00
A2A,45869,2025,7,31,狍子,05:19:00
A2A,45869,2025,7,31,家牛,08:58:00
A3,45853,2025,7,15,家犬,09:58:00
A3,45860,2025,7,22,家牛,04:32:00
A3,45862,2025,7,24,狍子,02:19:00
A3,45869,2025,7,31,家牛,08:52:00
A3,45869,2025,7,31,家牛,10:13:00
A3A,45866,2025,7,28,家牛,15:47:00
A3A,45869,2025,7,31,家牛,08:45:00
A3A,45869,2025,7,31,家牛,10:02:00
A4,45851,2025,7,13,山斑鸠,12:39:00
A5,45850,2025,7,12,赤狐,21:24:00
A5,45854,2025,7,16,家犬,16:55:00
A5,45855,2025,7,17,家犬,16:01:00
A5A,45841,2025,7,3,狗獾,22:17:00
A5A,45851,2025,7,13,赤狐,02:13:00
A5A,45852,2025,7,14,赤狐,22:56:00
A5A,45854,2025,7,16,狍子,04:49:00
A5A,45855,2025,7,17,家犬,16:14:00
A5A,45868,2025,7,30,蒙古兔,20:52:00
A5A,45869,2025,7,31,赤狐,20:23:00
A5A,45869,2025,7,31,家犬,10:07:00
A5A,45869,2025,7,31,家牛,09:29:00
A5A,45869,2025,7,31,家牛,10:02:00
A5B,45854,2025,7,16,狍子,04:49:00
A5B,45855,2025,7,17,家犬,16:14:00
A7,45861,2025,7,23,家牛,16:56:00
A7,45863,2025,7,25,雉鸡,12:23:00
A9,45842,2025,7,4,狍子,01:04:00
A9,45858,2025,7,20,狍子,03:18:00
A9,45860,2025,7,22,家牛,17:12:00
A9,45867,2025,7,29,喜鹊,08:19:00
A10,45839,2025,7,1,家犬,00:19:00
A10,45840,2025,7,2,家犬,00:54:00
A10,45841,2025,7,3,赤狐,02:09:00
A10,45841,2025,7,3,赤狐,03:13:00
A10,45842,2025,7,4,家犬,07:51:00
A10,45843,2025,7,5,赤狐,21:47:00
A10,45844,2025,7,6,家犬,19:43:00
A10,45847,2025,7,9,家犬,09:12:00
A10,45850,2025,7,12,赤狐,23:21:00
A10,45851,2025,7,13,赤狐,20:22:00
A10,45852,2025,7,14,家犬,09:36:00
A10,45853,2025,7,15,赤狐,02:54:00
A10,45853,2025,7,15,家犬,21:29:00
A10,45853,2025,7,15,家犬,22:27:00
A10,45854,2025,7,16,家犬,16:44:00
A10,45854,2025,7,16,家犬,21:15:00
A10,45855,2025,7,17,赤狐,01:05:00
A10,45856,2025,7,18,家犬,05:24:00
A10,45856,2025,7,18,家犬,17:46:00
A10,45856,2025,7,18,家犬,19:02:00
A10,45856,2025,7,18,家犬,21:22:00
A10,45856,2025,7,18,喜鹊,07:21:00
A10,45857,2025,7,19,家犬,10:01:00
A10,45857,2025,7,19,家犬,15:26:00
A10,45859,2025,7,21,家犬,08:05:00
A10,45860,2025,7,22,赤狐,00:06:00
A10,45860,2025,7,22,喜鹊,10:39:00
A10,45861,2025,7,23,家犬,08:30:00
A10,45861,2025,7,23,家犬,22:42:00
A10,45862,2025,7,24,家犬,17:25:00
A10,45862,2025,7,24,家犬,21:36:00
A10,45863,2025,7,25,家犬,01:30:00
A10,45863,2025,7,25,家犬,05:45:00
A10,45863,2025,7,25,家犬,18:22:00
A10,45863,2025,7,25,家犬,22:28:00
A10,45864,2025,7,26,家犬,08:25:00
A10,45864,2025,7,26,家犬,22:37:00
A10,45864,2025,7,26,家犬,23:36:00
A10,45865,2025,7,27,赤狐,04:35:00
A10,45866,2025,7,28,家犬,23:42:00
A10,45867,2025,7,29,家犬,00:48:00
A10,45867,2025,7,29,家犬,05:44:00
A11,45839,2025,7,1,狍子,21:07:00
A11,45840,2025,7,2,狍子,21:08:00
A11,45844,2025,7,6,狍子,04:08:00
A11,45849,2025,7,11,狍子,04:59:00
A11,45852,2025,7,14,家犬,15:43:00
A11,45855,2025,7,17,家牛,14:11:00
A11,45855,2025,7,17,家牛,14:53:00
A11,45855,2025,7,17,家牛,16:02:00
A12,45843,2025,7,5,家犬,19:59:00
A12,45844,2025,7,6,家犬,17:35:00
A12,45845,2025,7,7,家犬,07:33:00
A12,45846,2025,7,8,狍子,05:05:00
A12,45849,2025,7,11,家犬,08:32:00
A12,45849,2025,7,11,狍子,01:50:00
A12,45856,2025,7,18,喜鹊,09:07:00
A12,45858,2025,7,20,喜鹊,15:26:00
A12,45859,2025,7,21,喜鹊,10:36:00
A12,45861,2025,7,23,喜鹊,09:36:00
A12,45861,2025,7,23,雉鸡,08:10:00
A12,45862,2025,7,24,家犬,16:34:00
A12,45866,2025,7,28,雉鸡,14:04:00
A12,45867,2025,7,29,蒙古兔,07:53:00
A12,45868,2025,7,30,蒙古兔,13:25:00
A12,45868,2025,7,30,雉鸡,13:25:00
A13,45843,2025,7,5,家犬,10:07:00
A13,45853,2025,7,15,狍子,03:47:00
A13,45859,2025,7,21,雉鸡,11:17:00
A14,45839,2025,7,1,家牛,07:02:00
A14,45840,2025,7,2,家牛,15:21:00
A14,45840,2025,7,2,家牛,16:19:00
A14,45843,2025,7,5,赤狐,02:18:00
A14,45843,2025,7,5,家牛,10:49:00
A14,45843,2025,7,5,家牛,07:15:00
A14,45844,2025,7,6,家犬,17:33:00
A14,45845,2025,7,7,家牛,06:56:00
A14,45845,2025,7,7,家牛,11:03:00
A14,45846,2025,7,8,赤狐,22:16:00
A14,45846,2025,7,8,家犬,04:48:00
A14,45846,2025,7,8,喜鹊,18:20:00
A14,45847,2025,7,9,赤狐,21:30:00
A14,45847,2025,7,9,家牛,08:07:00
A14,45847,2025,7,9,家牛,16:22:00
A14,45848,2025,7,10,赤狐,20:24:00
A14,45848,2025,7,10,狍子,22:25:00
A14,45849,2025,7,11,家牛,11:19:00
A14,45849,2025,7,11,喜鹊,17:18:00
A14,45849,2025,7,11,家犬,15:11:00
A14,45850,2025,7,12,喜鹊,16:11:00
A14,45851,2025,7,13,喜鹊,08:58:00
A14,45851,2025,7,13,喜鹊,11:21:00
A14,45853,2025,7,15,喜鹊,18:04:00
A14,45854,2025,7,16,家牛,08:47:00
A14,45854,2025,7,16,家牛,10:11:00
A14,45855,2025,7,17,家牛,07:19:00
A14,45855,2025,7,17,家牛,16:52:00
A14,45856,2025,7,18,家牛,07:13:00
A14,45856,2025,7,18,喜鹊,15:42:00
A14,45857,2025,7,19,家牛,16:01:00
A14,45857,2025,7,19,喜鹊,15:39:00
A14,45858,2025,7,20,喜鹊,11:54:00
A14,45859,2025,7,21,喜鹊,14:15:00
A14,45859,2025,7,21,喜鹊,17:50:00
A14,45859,2025,7,21,喜鹊,17:22:00
A14,45860,2025,7,22,家牛,17:09:00
A14,45860,2025,7,22,雉鸡,12:47:00
A14,45862,2025,7,24,家牛,17:44:00
A14,45862,2025,7,24,喜鹊,10:38:00
A14,45863,2025,7,25,家牛,10:42:00
A14,45864,2025,7,26,家牛,07:24:00
A14,45864,2025,7,26,家牛,11:22:00
A14,45866,2025,7,28,喜鹊,06:37:00
A14,45866,2025,7,28,喜鹊,11:43:00
A14,45866,2025,7,28,喜鹊,17:10:00
A14,45866,2025,7,28,喜鹊,07:35:00
A14,45869,2025,7,31,家犬,09:12:00
A14,45869,2025,7,31,喜鹊,14:24:00
A14,45869,2025,7,31,雉鸡,12:56:00
A15,45846,2025,7,8,家犬,05:27:00
A15,45846,2025,7,8,喜鹊,05:27:00
A15,45847,2025,7,9,家牛,08:01:00
A15,45847,2025,7,9,家牛,16:17:00
A15,45847,2025,7,9,家牛,17:05:00
A15,45849,2025,7,11,家牛,11:19:00
A15,45849,2025,7,11,雉鸡,12:50:00
A15,45851,2025,7,13,家犬,16:13:00
A15,45853,2025,7,15,家犬,07:34:00
A15,45854,2025,7,16,家牛,08:39:00
A15,45854,2025,7,16,家牛,10:10:00
A15,45855,2025,7,17,家牛,16:53:00
A15,45856,2025,7,18,家牛,07:09:00
A15,45856,2025,7,18,家犬,16:51:00
A15,45856,2025,7,18,雉鸡,10:26:00
A15,45857,2025,7,19,家牛,15:54:00
A15,45860,2025,7,22,家犬,15:58:00
A15,45860,2025,7,22,家牛,17:06:00
A15,45861,2025,7,23,雉鸡,11:38:00
A15,45862,2025,7,24,家牛,17:43:00
A16,45845,2025,7,7,狍子,16:56:00
A16,45846,2025,7,8,狍子,07:00:00
A16,45854,2025,7,16,狍子,05:11:00
A16,45860,2025,7,22,家牛,16:33:00
A16,45865,2025,7,27,野猪,20:30:00
A16,45868,2025,7,30,狗獾,20:05:00
A16,45868,2025,7,30,狍子,05:01:00
A16,45869,2025,7,31,家牛,08:53:00
A16,45869,2025,7,31,家牛,09:28:00
A17,45852,2025,7,14,家牛,18:08:00
A17,45852,2025,7,14,苍鹭,15:15:00
A17,45854,2025,7,16,鸬鹚,07:12:00
A17,45856,2025,7,18,苍鹭,02:56:00
A17,45866,2025,7,28,鸳鸯,17:05:00
A17,45868,2025,7,30,苍鹭,07:06:00
A18,45839,2025,7,1,岩松鼠,19:00:00
A18,45839,2025,7,1,雉鸡,18:21:00
A18,45839,2025,7,1,岩松鼠,05:33:00
A18,45840,2025,7,2,岩松鼠,06:05:00
A18,45841,2025,7,3,雉鸡,14:44:00
A18,45841,2025,7,3,雉鸡,12:39:00
A18,45842,2025,7,4,岩松鼠,19:06:00
A18,45842,2025,7,4,岩松鼠,06:57:00
A18,45843,2025,7,5,岩松鼠,05:54:00
A18,45843,2025,7,5,岩松鼠,07:06:00
A18,45844,2025,7,6,岩松鼠,15:07:00
A18,45845,2025,7,7,红嘴蓝鹊,20:09:00
A18,45845,2025,7,7,岩松鼠,12:22:00
A18,45845,2025,7,7,岩松鼠,14:34:00
A18,45846,2025,7,8,岩松鼠,06:31:00
A18,45847,2025,7,9,狍子,17:14:00
A18,45847,2025,7,9,雉鸡,18:25:00
A18,45849,2025,7,11,岩松鼠,07:21:00
A18,45850,2025,7,12,岩松鼠,18:09:00
A18,45850,2025,7,12,岩松鼠,07:27:00
A18,45850,2025,7,12,岩松鼠,08:06:00
A18,45851,2025,7,13,岩松鼠,18:52:00
A18,45851,2025,7,13,雉鸡,18:14:00
A18,45851,2025,7,13,岩松鼠,09:37:00
A18,45851,2025,7,13,岩松鼠,08:53:00
A18,45852,2025,7,14,岩松鼠,16:24:00
A18,45852,2025,7,14,岩松鼠,06:43:00
A18,45852,2025,7,14,岩松鼠,09:01:00
A18,45852,2025,7,14,岩松鼠,06:13:00
A18,45853,2025,7,15,岩松鼠,18:46:00
A18,45854,2025,7,16,岩松鼠,05:55:00
A18,45855,2025,7,17,雉鸡,05:55:00
A18,45855,2025,7,17,雉鸡,18:31:00
A18,45856,2025,7,18,岩松鼠,18:52:00
A18,45856,2025,7,18,岩松鼠,06:17:00
A18,45856,2025,7,18,岩松鼠,07:49:00
A18,45856,2025,7,18,雉鸡,18:22:00
A18,45857,2025,7,19,岩松鼠,07:23:00
A18,45858,2025,7,20,雉鸡,18:41:00
A18,45859,2025,7,21,岩松鼠,06:53:00
A18,45859,2025,7,21,岩松鼠,08:28:00
A18,45860,2025,7,22,岩松鼠,06:12:00
A18,45861,2025,7,23,家牛,16:36:00
A18,45861,2025,7,23,岩松鼠,09:19:00
A18,45861,2025,7,23,岩松鼠,07:33:00
A18,45862,2025,7,24,岩松鼠,06:50:00
A18,45862,2025,7,24,野猪,08:19:00
A18,45863,2025,7,25,岩松鼠,19:15:00
A18,45863,2025,7,25,岩松鼠,06:44:00
A18,45866,2025,7,28,狗獾,22:56:00
A18,45866,2025,7,28,岩松鼠,05:32:00
A18,45868,2025,7,30,岩松鼠,17:21:00
A18,45869,2025,7,31,岩松鼠,18:15:00
A19,45845,2025,7,7,豹,09:17:00
A19,45850,2025,7,12,狍子,08:29:00
A19,45865,2025,7,27,家犬,16:07:00
A20,45864,2025,7,26,豹,05:28:00
A21,45856,2025,7,18,野猪,00:02:00
A21,45864,2025,7,26,豹,05:31:00
A1,45873,2025,8,4,狍子,01:27:00
A1,45873,2025,8,4,家牛,13:02:00
A1,45874,2025,8,5,家牛,20:24:00
A1,45875,2025,8,6,家牛,16:41:00
A1,45875,2025,8,6,家牛,17:43:00
A1,45877,2025,8,8,狍子,05:29:00
A1,45877,2025,8,8,狍子,05:36:00
A1,45877,2025,8,8,家牛,07:55:00
A1,45877,2025,8,8,家牛,09:49:00
A1,45877,2025,8,8,家牛,11:16:00
A1,45877,2025,8,8,家牛,18:39:00
A1,45878,2025,8,9,家牛,07:41:00
A1,45878,2025,8,9,家牛,10:28:00
A1,45878,2025,8,9,家牛,11:11:00
A1,45880,2025,8,11,家犬,07:44:00
A1,45880,2025,8,11,家犬,08:37:00
A1,45880,2025,8,11,家牛,08:39:00
A1,45880,2025,8,11,家牛,13:40:00
A1,45880,2025,8,11,家牛,18:11:00
A1,45880,2025,8,11,家犬,09:43:00
A1,45880,2025,8,11,家犬,10:29:00
A1,45880,2025,8,11,家犬,11:13:00
A1,45881,2025,8,12,家牛,13:08:00
A1,45884,2025,8,15,家犬,08:30:00
A1,45884,2025,8,15,家牛,09:54:00
A1,45884,2025,8,15,家牛,10:42:00
A1,45885,2025,8,16,家牛,18:43:00
A1,45885,2025,8,16,雉鸡,16:28:00
A1,45886,2025,8,17,家牛,14:33:00
A1,45887,2025,8,18,家牛,11:42:00
A1,45893,2025,8,24,狍子,01:43:00
A1,45893,2025,8,24,家犬,13:33:00
A1,45894,2025,8,25,家犬,08:30:00
A1,45894,2025,8,25,家牛,12:23:00
A1,45894,2025,8,25,家犬,09:45:00
A1,45900,2025,8,31,家犬,10:00:00
A1,45900,2025,8,31,家牛,08:01:00
A2,45873,2025,8,4,狍子,05:24:00
A2,45877,2025,8,8,家牛,15:58:00
A2,45880,2025,8,11,家犬,09:14:00
A2,45881,2025,8,12,家牛,07:30:00
A2,45881,2025,8,12,家牛,13:48:00
A2,45884,2025,8,15,家犬,09:51:00
A2,45884,2025,8,15,家牛,14:32:00
A2,45885,2025,8,16,家牛,12:45:00
A2,45885,2025,8,16,家牛,16:20:00
A2,45889,2025,8,20,狍子,01:30:00
A2,45889,2025,8,20,狍子,19:48:00
A2,45892,2025,8,23,狍子,04:50:00
A2,45895,2025,8,26,野猪,05:57:00
A2A,45871,2025,8,2,雉鸡,09:04:00
A2A,45872,2025,8,3,雉鸡,08:20:00
A2A,45876,2025,8,7,赤狐,06:16:00
A2A,45876,2025,8,7,狗獾,23:05:00
A2A,45879,2025,8,10,雉鸡,06:21:00
A2A,45884,2025,8,15,雉鸡,08:49:00
A2A,45886,2025,8,17,雉鸡,06:56:00
A2A,45888,2025,8,19,赤狐,00:43:00
A2A,45891,2025,8,22,赤狐,02:38:00
A2A,45892,2025,8,23,赤狐,04:53:00
A2A,45893,2025,8,24,赤狐,01:32:00
A2A,45893,2025,8,24,赤狐,20:11:00
A2A,45894,2025,8,25,赤狐,20:38:00
A2A,45895,2025,8,26,赤狐,06:59:00
A2A,45895,2025,8,26,赤狐,11:56:00
A2A,45895,2025,8,26,赤狐,19:08:00
A2A,45896,2025,8,27,雉鸡,06:33:00
A2A,45898,2025,8,29,雉鸡,09:49:00
A2A,45899,2025,8,30,赤狐,05:44:00
A2A,45899,2025,8,30,雉鸡,09:16:00
A2A,45900,2025,8,31,雉鸡,10:05:00
A2B,45895,2025,8,26,野猪,05:49:00
A4,45881,2025,8,12,家牛,14:20:00
A5A,45870,2025,8,1,狍子,02:36:00
A5A,45872,2025,8,3,赤狐,00:24:00
A5A,45874,2025,8,5,狗獾,04:19:00
